name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Marinomonas primoryensis	178399	species	8345401	8	7	0.0
Leptospirillum ferriphilum	178606	species	0	1	0	0.0
Carboxydocella thermautotrophica	178899	species	2678168	3	1	0.0
Oscillatoria nigro-viridis PCC 7112	179408	strain	8272254	9	6	0.0
Alicycliphilus denitrificans	179636	species	9725259	7	1	0.0
Halococcus dombrowskii	179637	species	3965466	1	1	0.0
Burkholderia anthina	179879	species	31376558	11	8	0.0
Infectious spleen and kidney necrosis virus	180170	species	111362	1	0	0.0
Cyprinid herpesvirus 3	180230	leaf	295146	18	1	0.0
Delftia tsuruhatensis	180282	species	54156478	20	6	0.0
Sphingopyxis chilensis	180400	species	3952559	1	1	0.0
Morganella morganii subsp. morganii	180434	subspecies	51827476	8	1	0.0
Bacillus thuringiensis serovar indiana	180850	leaf	6198448	4	1	0.0
Pectobacterium brasiliense	180957	species	99111728	26	4	0.0
uncultured Desulfuromonas sp.	181013	species	7718513	6	6	0.0
Emiliania huxleyi virus 86	181082	species	407339	1	1	0.0
Pseudomonas sp. AH2	181555	species	5508962	2	0	0.0
Helicobacter cetorum MIT 00-7128	182217	strain	1960111	14	7	0.0
Agarivorans albus	182262	species	4792255	4	2	0.0
Erwinia billingiae	182337	species	9694694	4	1	0.0
Kribbella	182639	genus	0	1	0	0.0
Clostridium isatidis	182773	species	2869927	37	24	0.0
Proteus hauseri	183417	species	3930735	17	11	0.0
Wolbachia endosymbiont of Ostrinia scapulalis	183754	species	1320340	1	0	0.0
Thermoprotei	183924	class	0	1	0	0.0
Methanobacteria	183925	class	0	1	0	0.0
Methanococci	183939	class	0	1	0	0.0
Halobacteria	183963	class	0	3	0	0.0
Streptococcus constellatus subsp. constellatus	184246	subspecies	1901581	3	0	0.0
Vibrio ruber	184755	species	9290496	9	3	0.0
Citrobacter sp. TSA-1	184912	species	5182653	1	0	0.0
Corallococcus coralloides	184914	species	9587888	5	0	0.0
Pseudoalteromonas maricaloris	184924	species	11062151	3	0	0.0
Chlorogloeopsis fritschii PCC 9212	184925	strain	7731072	10	0	0.0
Pseudobutyrivibrio xylanivorans	185007	species	3584491	10	6	0.0
Butyrivibrio hungatei	185008	species	3386314	7	6	0.0
Vibrio cholerae O37	185332	leaf	4018449	2	1	0.0
uncultured Dethiosulfovibrio sp.	185448	species	2909935	1	1	0.0
Mycobacterium parmense	185642	species	5952912	2	1	0.0
Sphingomonas aerolata	185951	species	8364774	2	2	0.0
Mulberry dwarf phytoplasma	186171	species	622358	6	3	0.0
Rhodococcus sp. DK17	186196	species	9527206	3	0	0.0
Entomoplasmatales	186328	order	0	2	0	0.0
Acholeplasmatales	186329	order	0	1	0	0.0
Candidatus Palibaumannia cicadellinicola	186490	species	1395562	6	3	0.0
Pyrococcus furiosus DSM 3638	186497	strain	3798170	8	0	0.0
Clostridia	186801	class	0	16	0	0.0
Eubacteriales	186802	order	0	1598	0	0.0
Lachnospiraceae	186803	family	0	5	1	0.0
Eubacteriaceae	186806	family	0	2	0	0.0
Bacillaceae	186817	family	0	10	0	0.0
Planococcaceae	186818	family	0	1	0	0.0
Paenibacillaceae	186822	family	0	1	0	0.0
Lactobacillales	186826	order	0	285	0	0.0
Carnobacteriaceae	186828	family	0	1	0	0.0
Sneathia vaginalis	187101	species	3999699	44	9	0.0
Alkalilimnicola ehrlichii MLHE-1	187272	strain	3275944	1	1	0.0
Roseibium aggregatum	187304	species	40054786	18	4	0.0
Acidaminococcus intestini	187327	species	4509439	20	1	0.0
Methanothermobacter thermautotrophicus str. Delta H	187420	strain	1751377	3	0	0.0
Pediococcus claussenii	187452	species	3937963	5	0	0.0
Thalassolituus oleivorans	187493	species	3909699	1	0	0.0
Thermococcus radiotolerans	187880	species	1868990	1	1	0.0
uncultured Holophaga sp.	188475	species	3673456	7	5	0.0
Thermotogae	188708	class	0	1	0	0.0
Streptomyces koyangensis	188770	species	14222371	12	4	0.0
Thermaceae	188786	family	0	1	0	0.0
Cetobacterium somerae	188913	species	6389927	72	46	0.0
Pedobacter cryoconitis	188932	species	5950539	12	8	0.0
Methanosarcina acetivorans C2A	188937	strain	5751492	33	24	0.0
Pronghorn antelope pestivirus	188938	leaf	12273	1	0	0.0
Rossellomorea marisflavi	189381	species	22132939	53	39	0.0
Rossellomorea aquimaris	189382	species	4532929	15	2	0.0
Streptococcus pneumoniae 670-6B	189423	strain	2240045	1	0	0.0
Paenibacillus graminis	189425	species	7166464	2	1	0.0
Paenibacillus odorifer	189426	species	20417577	6	0	0.0
Leptospira interrogans serovar Lai str. 56601	189518	strain	4698134	1	1	0.0
uncultured Trichococcus sp.	189665	species	9828459	11	2	0.0
Paenibacillus elgii	189691	species	7750416	4	4	0.0
Actinobacillus porcitonsillarum	189834	species	2263191	3	0	0.0
Fowl aviadenovirus A	190061	species	87608	2	0	0.0
Fowl aviadenovirus D	190064	species	90126	4	0	0.0
Actinotignum urinale	190146	species	3635703	2	0	0.0
Bradyrhizobium paxllaeri	190148	species	8377719	2	0	0.0
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	190304	strain	4360217	2	0	0.0
Clostridium phage phi3626	190478	species	33507	1	1	0.0
Ralstonia insidiosa	190721	species	12164766	3	1	0.0
Vibrio coralliilyticus	190893	species	33827514	19	4	0.0
Vibrio rotiferianus	190895	species	11052670	11	4	0.0
Vibrio gallicus	190897	species	3518157	1	1	0.0
Lactobacillus kefiranofaciens subsp. kefiranofaciens	190905	subspecies	4670253	11	0	0.0
Lactobacillus kefiranofaciens subsp. kefirgranum	190906	subspecies	2216505	4	1	0.0
Devosia neptuniae	191302	species	4715470	1	1	0.0
Pseudomonas palleroniana	191390	species	12576342	1	0	0.0
Corynebacterium sphenisci	191493	species	0	1	0	0.0
Pseudomonas syringae pv. atrofaciens	192087	leaf	17962484	7	2	0.0
Chryseobacterium daecheongense	192389	species	3799034	8	4	0.0
Planococcus maritimus	192421	species	10136946	10	7	0.0
Phthorimaea operculella granulovirus	192584	leaf	119217	1	0	0.0
Qipengyuania flava	192812	species	12085455	1	0	0.0
Rhodoferax ferrireducens	192843	species	4541941	2	0	0.0
Methanosarcina mazei Go1	192952	strain	4096345	18	0	0.0
Salmonella enterica subsp. enterica serovar Mbandaka	192954	leaf	73416053	1	0	0.0
Streptomyces niveus	193462	species	34244989	16	7	0.0
Alysiella filiformis	194196	species	2432079	1	1	0.0
Neisseria dentiae	194197	species	2755930	2	1	0.0
Chlorobaculum tepidum TLS	194439	strain	2154946	1	1	0.0
Streptomyces rubrogriseus	194673	species	8411861	1	0	0.0
Desulfovibrionaceae	194924	family	0	1	0	0.0
Sinorhizobium americanum	194963	species	6751508	1	0	0.0
Clostridium perfringens str. 13	195102	strain	3085740	1	0	0.0
Clostridium perfringens ATCC 13124	195103	strain	3256683	4	0	0.0
Picosynechococcus sp. PCC 8807	195248	species	3304088	2	0	0.0
Synechococcus sp. PCC 6312	195253	species	3720499	1	1	0.0
Picosynechococcus sp. PCC 7117	195498	species	3432101	2	0	0.0
Thermococcus nautili	195522	species	4092913	3	2	0.0
Xanthomonas arboricola pv. juglandis	195709	leaf	31067164	8	1	0.0
Loktanella salsilacus	195913	species	7901284	3	3	0.0
Aeromonas hydrophila subsp. hydrophila	196023	subspecies	10209346	2	0	0.0
Aeromonas dhakensis	196024	species	112033293	19	7	0.0
Nocardioides sp. JS614	196162	species	5293685	3	2	0.0
Corynebacterium glutamicum ATCC 13032	196627	strain	6592109	2	0	0.0
Thermosynechococcus vestitus BP-1	197221	strain	2593857	2	1	0.0
Paraglaciecola mesophila	197222	species	5039229	1	1	0.0
Malaciobacter halophilus	197482	species	2812536	23	13	0.0
Haemophilus aegyptius	197575	species	5979770	17	0	0.0
Streptococcus pasteurianus	197614	species	11370875	16	6	0.0
Aeromonas salmonicida subsp. masoucida	197700	subspecies	24918848	5	2	0.0
Paenibacillus barcinonensis	198119	species	6393895	6	4	0.0
Candidatus Pelagibacter	198251	genus	0	1	0	0.0
Candidatus Pelagibacter ubique	198252	species	0	1	0	0.0
Anoxybacillus gonensis	198467	species	2803668	1	1	0.0
Macrococcus brunensis	198483	species	4350386	5	0	0.0
Pseudomonas umsongensis	198618	species	6690075	1	0	0.0
Pseudomonas koreensis	198620	species	24691520	4	3	0.0
Buchnera aphidicola str. Sg (Schizaphis graminum)	198804	strain	641454	11	5	0.0
Vibrio pomeroyi	198832	species	11260955	18	9	0.0
Pseudomonas syringae pv. lapsa	199201	leaf	5918899	1	0	0.0
Halalkalibacter krulwichiae	199441	species	4610863	17	16	0.0
Brevibacterium luteolum	199591	species	3179618	1	1	0.0
Microbacterium paraoxydans	199592	species	3593038	2	0	0.0
Deinococcus aetherius	200252	species	4818874	3	2	0.0
Pseudomonas trivialis	200450	species	138140021	6	3	0.0
Pseudomonas poae	200451	species	136217210	5	2	0.0
Pseudomonas congelans	200452	species	11562542	1	0	0.0
Pseudomonas tremae	200454	species	11844365	4	3	0.0
Bacteroidia	200643	class	0	5	0	0.0
Flavobacteriales	200644	order	0	16	0	0.0
Sphingobacteriales	200666	order	0	1	0	0.0
Flammeovirgaceae	200667	family	0	5	0	0.0
Thermotogota	200918	phylum	0	3	0	0.0
Thermodesulfobacteriota	200940	phylum	0	2	0	0.0
Planococcus rifietoensis	200991	species	3505011	3	0	0.0
Actinomycetota	201174	phylum	0	3	0	0.0
Staphylococcus casei	201828	species	5735238	19	6	0.0
Maize bushy stunt phytoplasma	202462	species	576118	12	1	0.0
Listeria ivanovii subsp. londoniensis	202752	subspecies	9045643	19	0	0.0
Streptomyces drozdowiczii	202862	species	7386614	1	1	0.0
Bubaline alphaherpesvirus 1	202910	leaf	137452	4	0	0.0
Actinobacillus equuli subsp. equuli	202947	subspecies	19013980	6	1	0.0
Actinobacillus equuli subsp. haemolyticus	202948	subspecies	33332086	20	9	0.0
Acinetobacter baylyi	202950	species	7236784	15	2	0.0
Acinetobacter bouvetii	202951	species	3399245	6	3	0.0
Acinetobacter towneri	202956	species	26832956	28	4	0.0
Acetivibrio thermocellus ATCC 27405	203119	strain	3843301	10	5	0.0
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	203120	strain	2075763	1	0	0.0
Saccharophagus degradans 2-40	203122	strain	5057531	2	1	0.0
Oenococcus oeni PSU-1	203123	strain	1780517	1	0	0.0
Trichodesmium erythraeum IMS101	203124	strain	7750108	31	18	0.0
Stutzerimonas chloritidismutans	203192	species	4466844	1	0	0.0
Tannerella forsythia 92A2	203275	strain	3405521	5	1	0.0
Fusobacteriia	203490	class	0	1	0	0.0
Fusobacteriales	203491	order	0	4	0	0.0
Fusobacteriaceae	203492	family	0	1	0	0.0
Planctomycetota	203682	phylum	0	3	0	0.0
Spirochaetota	203691	phylum	0	1	0	0.0
Spirochaetia	203692	class	0	1	0	0.0
Candidatus Blochmanniella	203804	genus	0	1	0	0.0
Dickeya	204037	genus	0	1	0	0.0
Dickeya dadantii	204038	species	25165906	18	14	0.0
Dickeya dianthicola	204039	species	73457179	4	1	0.0
Dickeya zeae	204042	species	52214432	23	9	0.0
Cobetia	204286	genus	0	1	1	0.0
Terriglobales	204433	order	0	1	0	0.0
Mamestra configurata nucleopolyhedrovirus B	204440	leaf	158482	1	1	0.0
Rhodospirillales	204441	order	0	3	0	0.0
Sphingomonadales	204457	order	0	4	0	0.0
Caulobacterales	204458	order	0	2	0	0.0
Pseudoroseomonas cervicalis	204525	species	4625450	5	3	0.0
Roseomonas gilardii subsp. gilardii	204527	subspecies	4624884	11	4	0.0
Sulfurihydrogenibium azorense Az-Fu1	204536	strain	1640877	9	7	0.0
Candidatus Koribacter versatilis Ellin345	204669	leaf	5650368	7	6	0.0
Nocardia iowensis	204891	species	8948074	3	1	0.0
Sporomusa aerivorans	204936	species	6511628	9	8	0.0
Ehrlichia chaffeensis str. Arkansas	205920	strain	1176248	7	0	0.0
Pseudomonas fluorescens Pf0-1	205922	strain	6438405	1	0	0.0
Neisseriales	206351	order	0	1	0	0.0
Buenaventura virus	206377	leaf	12674	1	0	0.0
Rhodocyclales	206389	order	0	1	0	0.0
Sulfurovum lithotrophicum	206403	species	2217891	5	1	0.0
Kerstersia gyiorum	206506	species	3945801	4	3	0.0
Streptomyces sp. FR-008	206662	species	7258031	7	0	0.0
Roseomonas mucosa	207340	species	45158136	13	5	0.0
Variovorax sp. WDL1	207745	species	8360137	3	2	0.0
Sulfolobus tengchongensis	207809	species	2774215	15	8	0.0
Bermanella marisrubri	207949	species	3550395	1	1	0.0
Agrotis ipsilon multiple nucleopolyhedrovirus	208013	leaf	155122	2	1	0.0
Pseudalkalibacillus hwajinpoensis	208199	species	13157963	23	18	0.0
Kosakonia cowanii	208223	species	24283540	4	2	0.0
Enterobacter kobei	208224	species	141390246	17	8	0.0
Bradyrhizobium sp. Pha-3	208375	species	18662596	5	2	0.0
Amycolatopsis japonica	208439	species	9053857	2	0	0.0
Enterocloster bolteae	208479	species	25767960	45	15	0.0
Carnobacterium sp. 17-4	208596	species	2685399	13	7	0.0
Nocardia puris	208602	species	8059414	1	1	0.0
Human respiratory syncytial virus A	208893	leaf	15191	1	0	0.0
Escherichia albertii	208962	species	377947329	30	12	0.0
Nocardia yamanashiensis	209247	species	8468804	5	4	0.0
Streptococcus mutans UA159	210007	strain	2032925	1	0	0.0
Chlorogloeopsis fritschii PCC 6912	211165	strain	7850473	3524	2305	0.0
Conchiformibius kuhniae	211502	species	2151969	2	1	0.0
Shewanella oneidensis MR-1	211586	strain	5131424	4	2	0.0
Leptospira interrogans serovar Canicola	211880	leaf	14822004	9	0	0.0
Acanthamoeba polyphaga mimivirus	212035	leaf	2403481	19	11	0.0
Vibrio tasmaniensis	212663	species	4992314	2	1	0.0
Vibrio fortis	212667	species	5281637	3	2	0.0
Clostridium tetani E88	212717	strain	2873333	7	2	0.0
Mycolicibacterium madagascariense	212765	species	5940375	2	2	0.0
Mycobacterium sp. JS623	212767	species	7221766	91	0	0.0
Sclerotinia sclerotiorum debilitation-associated RNA virus	213034	species	5470	1	1	0.0
Desulfovibrionales	213115	order	0	1	0	0.0
Geobacillus zalihae	213419	species	10693840	3	2	0.0
Methanosarcina mazei S-6	213585	strain	4142816	9	3	0.0
Microcystis viridis NIES-102	213615	strain	5874197	12	0	0.0
Lactococcus phage fd13	213782	leaf	30674	1	0	0.0
Campylobacterales	213849	order	0	6	0	0.0
Staphylococcus nepalensis	214473	species	11835278	34	3	0.0
Leptospira interrogans serovar Manilae	214675	leaf	9334759	5	0	0.0
Alistipes finegoldii	214856	species	4117255	2	0	0.0
Williamsoniiplasma luminosum	214888	species	2061405	18	5	0.0
Komagataeibacter rhaeticus	215221	species	10901317	9	2	0.0
Williamsoniiplasma somnilux	215578	species	868413	10	8	0.0
Caldimonas thermodepolymerans	215580	species	11829930	3	0	0.0
Erwinia sp. Ejp617	215689	species	3957675	3	0	0.0
Roseovarius mucosus	215743	species	8350715	2	0	0.0
Dinoroseobacter shibae	215813	species	9046392	2	0	0.0
Mesoplasma chauliocola	216427	species	854780	8	4	0.0
Croceibacter atlanticus HTCC2559	216432	strain	2952962	16	4	0.0
Oscillospiraceae	216572	family	0	2	0	0.0
Burkholderia cenocepacia J2315	216591	strain	8055782	1	0	0.0
Rhizobium johnstonii 3841	216596	strain	7751309	1	0	0.0
Stenotrophomonas rhizophila	216778	species	18103052	10	3	0.0
Bifidobacterium longum	216816	species	77512422	6	1	0.0
Faecalibacterium	216851	genus	0	1	0	0.0
Vibrio vulnificus CMCP6	216895	strain	5126696	1	0	0.0
Mycolicibacterium psychrotolerans	216929	species	5732362	2	0	0.0
Spiroplasma alleghenense	216931	species	1336077	14	8	0.0
Spiroplasma chinense	216932	species	1370182	11	6	0.0
Spiroplasma corruscae	216934	species	1204639	13	10	0.0
Spiroplasma helicoides	216938	species	1326546	22	14	0.0
Spiroplasma litorale	216942	species	1225519	15	9	0.0
Spiroplasma turonicum	216946	species	2522749	44	0	0.0
Spiroplasma sp. TIUS-1	216963	species	811521	12	6	0.0
Spiroplasma sp. BIUS-1	216964	species	915326	10	5	0.0
uncultured Acetobacterium sp.	217139	species	4084676	10	7	0.0
Achromobacter spanius	217203	species	38810601	19	5	0.0
Achromobacter insolitus	217204	species	26287108	5	1	0.0
Wolbachia endosymbiont of Corcyra cephalonica	218111	species	1381884	80	75	0.0
Vagococcus carniphilus	218144	species	3128613	17	14	0.0
Desulfatibacillum aliphaticivorans	218208	species	6517073	4	0	0.0
Rossellomorea vietnamensis	218284	species	9116958	17	8	0.0
uncultured Methanolobus sp.	218300	species	3293617	6	5	0.0
Polaribacter butkevichii	218490	species	4079563	20	2	0.0
Pectobacterium atrosepticum SCRI1043	218491	strain	5064019	2	0	0.0
Salmonella bongori NCTC 12419	218493	strain	4460105	4	0	0.0
Streptococcus uberis 0140J	218495	strain	1852352	2	0	0.0
Oyster mushroom spherical virus	218667	species	5784	2	1	0.0
Sulfitobacter dubius	218673	species	8001265	1	1	0.0
Aeromonas simiae	218936	species	3974097	1	0	0.0
Pseudomonas antarctica	219572	species	6607040	1	0	0.0
Mesoplasma tabanidae	219745	species	846907	11	8	0.0
Pseudomonas protegens Pf-5	220664	strain	7074893	1	0	0.0
Neobacillus drentensis	220684	species	6255529	14	11	0.0
Neobacillus novalis	220687	species	5668946	10	8	0.0
Treponema putidum	221027	species	11430181	28	1	0.0
Oceanobacillus iheyensis HTE831	221109	strain	3630528	11	11	0.0
Synechococcus sp. RS9907	221350	species	2581635	1	1	0.0
Synechococcus sp. RS9909	221352	species	2603169	1	1	0.0
Mergibacter septicus	221402	species	9434653	17	3	0.0
Phaeobacter inhibens	221822	species	167966045	10	2	0.0
[Mannheimia] succiniciproducens MBEL55E	221988	strain	2314078	5	2	0.0
Helicobacter enhydrae	222136	species	1594790	4	3	0.0
Mycobacterium intracellulare subsp. chimaera	222805	subspecies	69026134	1	0	0.0
[Phormidium] sp. ETS-05	222819	species	6286783	8	6	0.0
Neorickettsia sennetsu str. Miyayama	222891	strain	859006	3	2	0.0
uncultured Rhodoferax sp.	223188	species	10533538	6	0	0.0
Pseudomonas syringae pv. tomato str. DC3000	223283	strain	6538260	2	0	0.0
Squash mild leaf curl virus	223324	species	5190	1	0	0.0
Ancylobacter polymorphus	223390	species	5225369	2	2	0.0
Hydrogenimonas thermophila	223786	species	5075151	18	0	0.0
Clostridium diolis	223919	species	5940808	39	4	0.0
Vibrio parahaemolyticus RIMD 2210633	223926	strain	5165770	2	0	0.0
Methylorubrum populi	223967	species	11339521	4	0	0.0
Bacillus subtilis subsp. subtilis str. 168	224308	strain	33840088	2	0	0.0
Aquifex aeolicus VF5	224324	strain	1590791	3	2	0.0
Archaeoglobus fulgidus DSM 4304	224325	strain	2178400	4	0	0.0
Borreliella burgdorferi B31	224326	strain	1521208	1	0	0.0
Adoxophyes honmai nucleopolyhedrovirus	224399	leaf	113220	1	1	0.0
Methanobrevibacter sp. AbM4	224719	species	1998189	29	19	0.0
Salmonella enterica subsp. enterica serovar Java	224729	strain	4756780	1	0	0.0
Methanomicrobia	224756	class	0	1	0	0.0
Buchnera aphidicola str. Bp (Baizongia pistaciae)	224915	strain	618379	6	5	0.0
Erysipelothrix inopinata	225084	species	2217552	6	6	0.0
Candidatus Rhabdochlamydia porcellionis	225148	species	1511852	8	7	0.0
Citrifermentans bemidjiense	225194	species	0	1	0	0.0
uncultured Hyphomonas sp.	225298	species	10722069	5	4	0.0
Sulfitobacter indolifex	225422	species	4498570	2	2	0.0
Shewanella psychrophila	225848	species	6353406	10	6	0.0
Shewanella piezotolerans WP3	225849	strain	5396476	5	4	0.0
Marinobacter adhaerens HP15	225937	strain	4651725	1	0	0.0
Comamonas aquatica	225991	species	16236154	5	3	0.0
Comamonas kerstersii	225992	species	7246319	4	0	0.0
Mesoplasma syrphidae	225999	species	908214	5	4	0.0
Enterococcus faecalis V583	226185	strain	3359974	1	1	0.0
Bacteroides thetaiotaomicron VPI-5482	226186	strain	6293399	1	0	0.0
Algoriphagus halophilus	226505	species	5146454	12	9	0.0
Bacillus cereus ATCC 14579	226900	strain	10858460	4	0	0.0
Pseudomonas batumici	226910	species	6801123	2	0	0.0
Actinocatenispora thailandica	227318	species	7426695	5	2	0.0
Strawberry pallidosis-associated virus	227507	species	16044	1	1	0.0
Methylocella tundrae	227605	species	8844671	4	0	0.0
Bacillus tequilensis	227866	species	4012371	4	1	0.0
Streptomyces avermitilis MA-4680 = NBRC 14893	227882	strain	9119895	2	1	0.0
Chlamydia caviae GPIC	227941	leaf	1181356	2	1	0.0
Limosilactobacillus gastricus	227942	species	1905155	4	3	0.0
Lactobacillus ultunensis	227945	species	2246389	6	3	0.0
SARS coronavirus Tor2	227984	leaf	29751	1	0	0.0
Bacillus sp. A1	228104	species	4088362	2	0	0.0
Ligilactobacillus saerimneri	228229	species	3425905	1	1	0.0
Nitrosomonas europaea ATCC 19718	228410	strain	2812094	3	3	0.0
Nocardia arthritidis	228602	species	10014015	1	0	0.0
Peribacillus asahii	228899	species	19536561	42	11	0.0
Photorhabdus thracensis	230089	species	5147098	9	3	0.0
Methanobrevibacter millerae	230361	species	2543538	16	11	0.0
Actinobacillus genomosp. 2	230709	species	1883708	4	2	0.0
Furfurilactobacillus rossiae	231049	species	5725010	1	0	0.0
Pseudodesulfovibrio portus	231439	species	3403863	1	0	0.0
Halomonas alkaliantarctica	232346	species	4228891	3	3	0.0
Synechococcus sp. CB0101	232348	species	2789647	2	1	0.0
Alteromonas stellipolaris	233316	species	19030939	8	2	0.0
[Haemophilus] ducreyi 35000HP	233412	strain	1698955	2	0	0.0
Streptomyces sp. TN58	234612	species	7585034	3	2	0.0
Rhodococcus erythropolis PR4	234621	strain	6895538	31	26	0.0
Anaplasma marginale str. St. Maries	234826	strain	1197687	1	0	0.0
Pseudoalteromonas sp. SM9913	234831	species	4037671	5	0	0.0
Pseudomonas coronafaciens pv. coronafaciens	235275	leaf	5994291	2	0	0.0
Helicobacter hepaticus ATCC 51449	235279	strain	1799146	7	5	0.0
Arsenophonus endosymbiont of Aleurodicus dispersus	235559	species	663125	3	3	0.0
Geobacillus kaustophilus HTA426	235909	strain	3592666	1	0	0.0
Actinacidiphila glaucinigra	235986	species	18526934	10	2	0.0
Streptomyces jietaisiensis	235987	species	45324588	14	1	0.0
Fastidiosipila sanguinis	236753	species	1785891	5	2	0.0
Cloacibacterium normanense	237258	species	2759562	15	8	0.0
Pseudomonas alkylphenolica	237609	species	17041644	5	2	0.0
Diaphorobacter	238749	genus	0	1	0	0.0
Rickettsia asiatica	238800	species	1419085	9	2	0.0
Clostridium estertheticum	238834	species	61749945	299	99	0.0
Shewanella donghaensis	238836	species	4912773	18	14	0.0
Synechococcus phage S-PM2	238854	leaf	196280	2	2	0.0
uncultured Desulfobulbus sp.	239745	species	9856921	9	7	0.0
Akkermansia muciniphila	239935	species	243907823	26	11	0.0
Acidobacterium capsulatum ATCC 51196	240015	strain	4127356	5	3	0.0
Verrucomicrobium spinosum DSM 4136 = JCM 18804	240016	strain	8220857	2	1	0.0
uncultured Desulfobacter sp.	240139	species	29810407	56	35	0.0
Trichormus variabilis ATCC 29413	240292	strain	7105752	14	0	0.0
Squirrelpox virus	240426	species	148803	1	1	0.0
Secundilactobacillus paracollinoides	240427	species	10733574	5	2	0.0
Rhizobium daejeonense	240521	species	5144152	1	1	0.0
Rummeliibacillus stabekisii	241244	species	3420739	10	2	0.0
Desulfovibrio ferrophilus	241368	species	3720107	6	5	0.0
Ichthyobacterium seriolicida	242600	species	1921407	6	5	0.0
Rhodopirellula baltica SH 1	243090	strain	7145576	4	4	0.0
Acidithiobacillus ferrooxidans ATCC 23270	243159	strain	2982397	1	1	0.0
Dehalococcoides mccartyi 195	243164	strain	1469720	2	0	0.0
Geobacter sulfurreducens PCA	243231	strain	3814128	2	0	0.0
Methanocaldococcus jannaschii DSM 2661	243232	strain	1739927	23	19	0.0
Methylococcus capsulatus str. Bath	243233	strain	3304561	1	0	0.0
Mycobacterium avium 104	243243	strain	5475491	1	0	0.0
Photorhabdus laumondii subsp. laumondii TTO1	243265	strain	5688987	7	0	0.0
Metamycoplasma arthritidis 158L3-1	243272	strain	820453	6	0	0.0
Mycoplasmoides genitalium G37	243273	strain	580076	1	0	0.0
Treponema denticola ATCC 35405	243275	strain	2843201	12	8	0.0
Chromobacterium violaceum ATCC 12472	243365	strain	4751080	4	0	0.0
endosymbiont 'TC1' of Trimyema compressum	243899	species	1622248	9	6	0.0
Anaerotruncus	244127	genus	0	1	0	0.0
Klebsiella variicola	244366	species	501331578	96	4	0.0
Pseudomonas lurida	244566	species	31091246	5	1	0.0
Sulfolobus spindle-shaped virus 2	244590	species	14796	1	1	0.0
Bradyrhizobium betae	244734	species	7419402	2	0	0.0
Vibrio crassostreae	246167	species	11478431	7	3	0.0
Carboxydothermus hydrogenoformans Z-2901	246194	strain	2401520	4	4	0.0
Dichelobacter nodosus VCS1703A	246195	strain	1389350	3	3	0.0
Myxococcus xanthus DK 1622	246197	strain	9139763	1	0	0.0
Prevotella intermedia 17	246198	strain	2699437	2	0	0.0
Streptococcus mitis NCTC 12261	246201	strain	1868883	2	0	0.0
Wolbachia endosymbiont of Cimex lectularius	246273	species	1250060	4	2	0.0
Turkey astrovirus 2	246343	leaf	7355	1	1	0.0
Staphylococcus equorum	246432	species	36984676	74	12	0.0
Bacteroides cellulosilyticus	246787	species	28177414	30	13	0.0
Thermococcus sp. AM4	246969	species	2086428	1	1	0.0
Nocardia farcinica IFM 10152	247156	strain	6292344	4	1	0.0
Anoxybacillus caldiproteolyticus	247480	species	3789050	8	4	0.0
Candidatus Cardinium hertigii	247481	species	1193042	6	2	0.0
Pseudoalteromonas aliena	247523	species	4594697	19	15	0.0
Cupriavidus pinatubonensis	248026	species	7548664	3	3	0.0
Veillonella rodentium	248315	species	2041290	3	2	0.0
Paenibacillus xylanilyticus	248903	species	6447596	5	3	0.0
Zobellia laminariae	248906	species	5114553	8	6	0.0
Zobellia russellii	248907	species	4648576	12	10	0.0
Gordonia otitidis	249058	species	5108829	1	1	0.0
Haemophilus pittmaniae	249188	species	2181355	2	2	0.0
Streptomyces decoyicus	249567	species	36443774	20	6	0.0
Streptomyces asoensis	249586	species	10044300	5	2	0.0
Chroococcidiopsis thermalis PCC 7203	251229	strain	6689401	6	0	0.0
Candidatus Blochmannia ocreatus	251538	species	746321	9	7	0.0
Candidatus Blochmannia vicinus	251540	species	2330958	31	10	0.0
Pseudomonas syringae pv. helianthi	251654	leaf	6334495	1	1	0.0
Pseudomonas syringae group genomosp. 3	251701	species	6363674	3	0	0.0
Pseudomonas amygdali pv. aesculi	251722	leaf	26101334	4	0	0.0
Chromobacterium subtsugae	251747	species	9525287	6	0	0.0
Phaeocystis globosa virus	251749	species	459984	11	8	0.0
Uruburuella suis	252130	species	2729985	2	1	0.0
Microbulbifer thermotolerans	252514	species	7959733	5	1	0.0
Thiospirochaeta perfilievii	252967	species	3700583	13	12	0.0
Paraburkholderia phenoliruptrix	252970	species	7362592	2	2	0.0
Ethanoligenens harbinense	253239	species	9084265	14	0	0.0
Schlumbergera virus X	253700	species	6633	1	0	0.0
Paenibacillus antarcticus	253703	species	5415779	8	3	0.0
Aquicella lusitana	254246	species	2624892	1	1	0.0
Aquicella siphonis	254247	species	2833188	4	2	0.0
Lactococcus phage Q33	254253	leaf	31106	1	1	0.0
Siminovitchia fortis	254758	species	3738453	8	8	0.0
Streptococcus halichoeri	254785	species	2026498	4	4	0.0
Actinobacillus genomosp. 1	254839	species	6955366	12	2	0.0
Ehrlichia ruminantium str. Welgevonden	254945	strain	3029332	7	1	0.0
Flagellimonas marinaquae	254955	species	7368591	18	0	0.0
Fictibacillus arsenicus	255247	species	4055461	12	9	0.0
